id,title,url,img_url,chanell,rating
0VIi4kxbbqw,"Monkeys for the queen",http://www.youtube.com/watch?v=0VIi4kxbbqw&feature=youtube_gdata,http://i1.ytimg.com/vi/0VIi4kxbbqw/hqdefault.jpg,khanacademy,4.5
pdleRJd9YNY,"Measuring a golden statue",http://www.youtube.com/watch?v=pdleRJd9YNY&feature=youtube_gdata,http://i1.ytimg.com/vi/pdleRJd9YNY/hqdefault.jpg,khanacademy,4.090909
Khzs4k2a-mw,"Visualizing vector addition examples",http://www.youtube.com/watch?v=Khzs4k2a-mw&feature=youtube_gdata,http://i1.ytimg.com/vi/Khzs4k2a-mw/hqdefault.jpg,khanacademy,5.0
wx2gI8iwMCA,"Introduction to place value",http://www.youtube.com/watch?v=wx2gI8iwMCA&feature=youtube_gdata,http://i1.ytimg.com/vi/wx2gI8iwMCA/hqdefault.jpg,khanacademy,4.076923
zOrkcZ1dlHk,"16 Possible values for t",http://www.youtube.com/watch?v=zOrkcZ1dlHk&feature=youtube_gdata,http://i1.ytimg.com/vi/zOrkcZ1dlHk/hqdefault.jpg,khanacademy,4.2
n8Ic2Oj-zvA,"Vector representations exercise example",http://www.youtube.com/watch?v=n8Ic2Oj-zvA&feature=youtube_gdata,http://i1.ytimg.com/vi/n8Ic2Oj-zvA/hqdefault.jpg,khanacademy,4.6923075
rrUW4z5IVcQ,"13 Possible values for x",http://www.youtube.com/watch?v=rrUW4z5IVcQ&feature=youtube_gdata,http://i1.ytimg.com/vi/rrUW4z5IVcQ/hqdefault.jpg,khanacademy,4.230769
PK4mJ2F9lvA,"7 Maximum distance on two spheres",http://www.youtube.com/watch?v=PK4mJ2F9lvA&feature=youtube_gdata,http://i1.ytimg.com/vi/PK4mJ2F9lvA/hqdefault.jpg,khanacademy,4.6056337
o8fYEZdTpEE,"14 Small arc length",http://www.youtube.com/watch?v=o8fYEZdTpEE&feature=youtube_gdata,http://i1.ytimg.com/vi/o8fYEZdTpEE/hqdefault.jpg,khanacademy,4.2
1K5uvvz9c3M,"28 Tall structures",http://www.youtube.com/watch?v=1K5uvvz9c3M&feature=youtube_gdata,http://i1.ytimg.com/vi/1K5uvvz9c3M/hqdefault.jpg,khanacademy,5.0
